year,GCAM6_Ref,rcp45,rcp60
1980,0.345863,0.378068262,0.378068262
1981,,0.400311009,0.400311009
1982,,0.36377343,0.36377343
1983,,0.312362858,0.312362858
1984,,0.327247587,0.327247587
1985,0.451742,0.374454616,0.374454616
1986,,0.420464592,0.420464592
1987,,0.461828913,0.461828913
1988,,0.501596271,0.501596271
1989,,0.539359078,0.539359078
1990,0.563683,0.573710418,0.573710418
1991,,0.524727164,0.524727164
1992,,0.435228635,0.435228635
1993,,0.436222735,0.436222735
1994,,0.497641028,0.497641028
1995,0.682267,0.566794664,0.566794664
1996,,0.6277853,0.6277853
1997,,0.680267478,0.680267478
1998,,0.727886816,0.727886816
1999,,0.772087507,0.772087507
2000,0.798416,0.812536933,0.812536933
2001,,0.848124391,0.848124391
2002,,0.879790767,0.879790767
2003,,0.908767897,0.908767897
2004,,0.935900711,0.935900711
2005,0.898257,0.95760085,0.95760085
2006,,0.96997667,0.969254483
2007,,0.979230949,0.977189082
2008,,0.992441331,0.98865813
2009,,1.008841621,1.002994557
2010,1.01419,1.027227502,1.019057215
2011,,1.04694414,1.036682175
2012,,1.067601028,1.055373108
2013,,1.088951696,1.074737968
2014,,1.110818598,1.094513984
2015,1.17374,1.133116974,1.114562847
2016,,1.155765276,1.13477014
2017,,1.178700913,1.155052394
2018,,1.201879709,1.175352157
2019,,1.225270195,1.19562989
2020,1.32357,1.248849597,1.215858411
2021,,1.27265994,1.23645282
2022,,1.296672821,1.257380449
2023,,1.320865805,1.27856991
2024,,1.345224272,1.299979305
2025,1.46477,1.369737551,1.321581551
2026,,1.394397827,1.343358116
2027,,1.419199386,1.365295856
2028,,1.444138082,1.38738523
2029,,1.469210953,1.40961925
2030,1.60625,1.49441594,1.431992792
2031,,1.519690247,1.453297614
2032,,1.545006872,1.473741138
2033,,1.570333038,1.493648777
2034,,1.595641039,1.513215308
2035,1.74752,1.620895858,1.532551603
2036,,1.646105651,1.55175882
2037,,1.671252251,1.570889719
2038,,1.696318945,1.589978929
2039,,1.721296398,1.609054237
2040,1.88708,1.746179166,1.628137586
2041,,1.770922286,1.647907715
2042,,1.79551843,1.668283591
2043,,1.819958237,1.68913969
2044,,1.844239216,1.710409694
2045,2.02431,1.868364802,1.732055949
2046,,1.892341673,1.754056367
2047,,1.91617829,1.776397713
2048,,1.939884035,1.799071902
2049,,1.963468636,1.822073811
2050,2.1604,1.986941821,1.845399962
2051,,2.009760063,1.868537061
2052,,2.03196703,1.891563292
2053,,2.053629545,1.914602579
2054,,2.07478272,1.937729077
2055,2.29598,2.095450516,1.960990025
2056,,2.115645616,1.984417077
2057,,2.135391708,2.008032087
2058,,2.154700347,2.031850388
2059,,2.173578757,2.055882837
2060,2.43222,2.192036004,2.080137281
2061,,2.209978111,2.105876727
2062,,2.22741075,2.132905657
2063,,2.244337272,2.160927973
2064,,2.260758924,2.189767581
2065,2.56913,2.27667815,2.219311209
2066,,2.292098202,2.249481728
2067,,2.307022903,2.280224376
2068,,2.321456424,2.311498985
2069,,2.335403151,2.343275346
2070,2.70665,2.348867609,2.375530318
2071,,2.361745382,2.407491506
2072,,2.374038503,2.439204563
2073,,2.385748142,2.470773326
2074,,2.396873329,2.502251719
2075,2.84526,2.407414292,2.53367177
2076,,2.417372071,2.565053905
2077,,2.426758964,2.59641203
2078,,2.435564107,2.627756197
2079,,2.443791545,2.659094106
2080,2.98593,2.451444083,2.690432004
2081,,2.458373013,2.721037666
2082,,2.464688264,2.7508787
2083,,2.4705558,2.779944415
2084,,2.476092811,2.808211989
2085,3.12642,2.481380533,2.835665892
2086,,2.486478111,2.862296507
2087,,2.491430794,2.888099374
2088,,2.496274458,2.913074349
2089,,2.501037658,2.937224214
2090,3.26605,2.505743096,2.960553655
2091,,2.510408846,2.983161495
2092,,2.515049456,3.00514383
2093,,2.519676902,3.02660653
2094,,2.524301156,3.047628189
2095,3.40484,2.528930499,3.068265161
2096,,2.533571734,3.088559657
2097,,2.538254127,3.108544226
2098,,2.542954995,3.128244521
2099,,2.547673002,3.147681173
2100,3.54283,2.552423037,3.166871112
